Index,lat,long,County,Total Population,State
51220,42.46762848,-73.78549957,albany,307463,new york
51221,42.41033554,-74.25533295,albany,307463,new york
51222,42.41606522,-74.27252197,albany,307463,new york
51223,42.46762848,-74.24960327,albany,307463,new york
51224,42.50774002,-74.22668457,albany,307463,new york
51225,42.56503677,-74.23241425,albany,307463,new york
51226,42.58795547,-74.20949554,albany,307463,new york
51227,42.62232971,-74.19229889,albany,307463,new york
51228,42.67389679,-74.16938782,albany,307463,new york
51229,42.70254517,-74.16365814,albany,307463,new york
51230,42.73119354,-74.17511749,albany,307463,new york
51231,42.78275681,-73.81988525,albany,307463,new york
51232,42.79421997,-73.78549957,albany,307463,new york
51233,42.81713867,-73.75685883,albany,307463,new york
51234,42.81713867,-73.74539185,albany,307463,new york
51235,42.811409,-73.72248077,albany,307463,new york
51236,42.7884903,-73.71102142,albany,307463,new york
51237,42.7884903,-73.67664337,albany,307463,new york
51238,42.69681549,-73.72248077,albany,307463,new york
51239,42.66816711,-73.73966217,albany,307463,new york
51240,42.63378906,-73.74539185,albany,307463,new york
51241,42.61087418,-73.7625885,albany,307463,new york
51242,42.59941101,-73.75685883,albany,307463,new york
51243,42.57076263,-73.7625885,albany,307463,new york
51244,42.53065491,-73.77404785,albany,307463,new york
51245,42.46762848,-73.78549957,albany,307463,new york
51246,41.99780655,-78.20874023,allegany,48070,new york
51247,42.00353622,-78.31186676,allegany,48070,new york
51248,42.51919937,-78.30614471,allegany,48070,new york
51249,42.51919937,-78.054039,allegany,48070,new york
51250,42.51346588,-78.04830933,allegany,48070,new york
51251,42.51346588,-77.84777832,allegany,48070,new york
51252,42.46762848,-77.84777832,allegany,48070,new york
51253,42.46762848,-77.73317719,allegany,48070,new york
51254,42.41606522,-77.73317719,allegany,48070,new york
51255,42.41606522,-77.73891449,allegany,48070,new york
51256,42.00353622,-77.76183319,allegany,48070,new york
51257,41.99780655,-78.20874023,allegany,48070,new york
51258,40.90345764,-73.9172821,bronx,1428357,new york
51259,40.90918732,-73.91155243,bronx,1428357,new york
51260,40.88626862,-73.8084259,bronx,1428357,new york
51261,40.86907959,-73.8256073,bronx,1428357,new york
51262,40.85762024,-73.81988525,bronx,1428357,new york
51263,40.82324219,-73.81988525,bronx,1428357,new york
51264,40.81178284,-73.81415558,bronx,1428357,new york
51265,40.80605316,-73.89437103,bronx,1428357,new york
51266,40.90345764,-73.9172821,bronx,1428357,new york
51267,42.00353622,-75.4757309,broome,198093,new york
51268,42.00353622,-76.10598755,broome,198093,new york
51269,42.08948135,-76.10598755,broome,198093,new york
51270,42.09521103,-76.10598755,broome,198093,new york
51271,42.18688202,-76.11171722,broome,198093,new york
51272,42.18688202,-76.08879089,broome,198093,new york
51273,42.20980072,-76.08306885,broome,198093,new york
51274,42.20980072,-76.0716095,broome,198093,new york
51275,42.22698975,-76.0716095,broome,198093,new york
51276,42.23271942,-76.07733917,broome,198093,new york
51277,42.24417877,-76.07733917,broome,198093,new york
51278,42.24990845,-76.08879089,broome,198093,new york
51279,42.25563812,-76.08306885,broome,198093,new york
51280,42.27282715,-76.07733917,broome,198093,new york
51281,42.27855682,-76.09452057,broome,198093,new york
51282,42.28428268,-76.09452057,broome,198093,new york
51283,42.29001617,-76.10598755,broome,198093,new york
51284,42.29574585,-76.10598755,broome,198093,new york
51285,42.29574585,-76.08879089,broome,198093,new york
51286,42.31293488,-76.09452057,broome,198093,new york
51287,42.31866455,-76.10025024,broome,198093,new york
51288,42.32439041,-76.10598755,broome,198093,new york
51289,42.33012009,-76.11171722,broome,198093,new york
51290,42.34158325,-76.1174469,broome,198093,new york
51291,42.34730911,-76.10025024,broome,198093,new york
51292,42.35877228,-76.10598755,broome,198093,new york
51293,42.35877228,-76.1174469,broome,198093,new york
51294,42.39314651,-76.1174469,broome,198093,new york
51295,42.39314651,-76.12889862,broome,198093,new york
51296,42.41033554,-76.12889862,broome,198093,new york
51297,42.41606522,-75.85961151,broome,198093,new york
51298,42.24990845,-75.83670044,broome,198093,new york
51299,42.24417877,-75.64188385,broome,198093,new york
51300,42.19834137,-75.63615417,broome,198093,new york
51301,42.19834137,-75.41843414,broome,198093,new york
51302,42.15250397,-75.41843414,broome,198093,new york
51303,42.07801819,-75.41843414,broome,198093,new york
51304,42.04364395,-75.41270447,broome,198093,new york
51305,42.00353622,-75.40124512,broome,198093,new york
51306,42.00353622,-75.4757309,broome,198093,new york
51307,42.00353622,-78.92494202,cattaraugus,78962,new york
51308,42.00353622,-79.06244659,cattaraugus,78962,new york
51309,42.54211807,-79.05671692,cattaraugus,78962,new york
51310,42.53065491,-79.01087952,cattaraugus,78962,new york
51311,42.48482132,-78.95931244,cattaraugus,78962,new york
51312,42.43898392,-78.93066406,cattaraugus,78962,new york
51313,42.43898392,-78.90774536,cattaraugus,78962,new york
51314,42.42752457,-78.89628601,cattaraugus,78962,new york
51315,42.42752457,-78.86763763,cattaraugus,78962,new york
51316,42.45044327,-78.82180023,cattaraugus,78962,new york
51317,42.45044327,-78.79888916,cattaraugus,78962,new york
51318,42.47336197,-78.75878143,cattaraugus,78962,new york
